"1","300","1","","","","","","","","","","2017-08-01 12:00:22","2017-08-01 12:00:22"
"2","323","929","CV354","６００Ｖ　ＣＶケーブル　３．５ｍｍ２ ４Ｃ","235.00","","11","","","","0.0190","2017-10-31 09:33:58","2017-10-31 10:24:13"
"3","259","936","CVT14","６００Ｖ　ＣＶＴケーブル　１４ｍｍ２","545.00","","11","","","","0.0300","2017-10-31 10:15:59","2017-10-31 10:25:03"
"4","259","952","IV55G","６００Ｖ　ＩＶ電線　５．５ｍｍ２(緑）","69.00","","11","","","","0.0140","2017-10-31 10:15:59","2017-10-31 10:25:03"
"5","205","184","TVVF203","ＶＶＦケーブル　２．０ｍｍ ３Ｃ","114.00","","11","","","","0.0170","2017-10-31 10:18:51","2017-10-31 10:20:02"
"6","205","940","IV20G","６００Ｖ　ＩＶ電線　２．０ｍｍ(緑)","38.00","","11","","","","0.0110","2017-10-31 10:18:51","2017-10-31 10:20:02"
"7","206","934","CV554","６００Ｖ　ＣＶケーブル　５．５ｍｍ２ ４Ｃ","345.00","","11","","","","0.0240","2017-10-31 10:23:28","2017-10-31 10:23:28"
"8","324","506","WN1512K","埋込接地ダブルコンセント","258.00","","1","","1","1","0.0800","2017-10-31 11:55:18","2018-02-08 16:19:38"
"9","324","557","WN7503","新金属プレート３コ用","180.00","","1","","1","1","","2017-10-31 11:55:18","2018-02-08 16:19:38"
"10","325","515","WN3021K","テレホンガイド","27.00","","1","","1","1","0.0200","2017-10-31 12:01:35","2018-02-13 11:13:09"
"11","325","518","WN3700","埋込取付枠","30.00","","1","","1","1","","2017-10-31 12:01:35","2018-02-13 11:13:09"
"12","325","555","WN7501","新金属プレート１コ用","180.00","","1","","1","1","","2017-10-31 12:01:35","2018-02-13 11:13:09"
"13","326","333","BEH3151","ハイプロ小形押釦開閉器　埋込形　３Ｐ　ＡＣ　２２０Ｖ　２．２Ｋｗ","822.00","","1","","","","0.0800","2017-10-31 14:02:11","2017-10-31 14:02:11"
"14","339","2001","CVT150","６００Ｖ　ＣＶＴケーブル","4000.00","","15","","","","0.1100","2017-11-06 15:29:53","2017-11-06 15:29:53"
"15","339","1974","VE-70","硬質ビニル電線管（４m）グレー","2370.00","","10","","","","0.1940","2017-11-06 15:29:53","2017-11-06 15:29:53"
"16","339","1","","電線管付属品","6000.00","","1","","","","","2017-11-06 15:29:53","2017-11-06 15:54:46"
"17","339","1","","電線管支持材","4500.00","","1","","","","","2017-11-06 15:29:53","2017-11-06 15:54:46"
"18","340","1964","SR30","直線ラック","3760.00","","1","","","","0.2430","2017-11-06 15:35:46","2017-11-06 15:35:46"
"19","340","1","","付属品","1128.00","","1","","","","","2017-11-06 15:35:46","2017-11-06 16:00:29"
"20","341","1","","集合引込計器盤","","","1","","","","2.4000","2017-11-06 15:38:49","2017-11-06 15:57:32"
"21","340","1","","支持材","733.00","","1","","","","","2017-11-06 16:00:29","2017-11-06 16:00:29"
"22","342","1952","IV22G","６００V　ＩＶ線　２２　スケア（緑）","265.00","","1","","","","0.0240","2017-11-06 16:02:59","2017-11-06 16:02:59"
"23","343","937","CVT22","６００Ｖ　ＣＶＴケーブル　２２ｍｍ２","790.00","","17","","","","0.0380","2017-11-06 16:10:43","2017-11-06 16:10:43"
"24","344","936","CVT14","６００Ｖ　ＣＶＴケーブル　１４ｍｍ２","545.00","","17","","","","0.0300","2017-11-06 16:15:43","2017-11-06 16:15:43"
"25","345","1545","CV83","６００Vケーブル　CV８X３C","300.00","","1","","1","1","0.0230","2017-11-06 16:24:07","2020-09-25 09:17:28"
"26","350","495","WN1001","埋込コンセント","87.00","","1","","","","0.0100","2017-11-13 09:58:29","2017-11-13 09:58:29"
"27","350","528","WN5062","埋込ネームスイッチＣ","234.00","","2","","","","0.0100","2017-11-13 09:58:29","2017-11-13 09:58:29"
"28","350","1","WCN3703","フルカラー組合わせ用取付枠3コ用","51.00","","1","","","","0.0100","2017-11-13 09:58:29","2017-11-13 09:58:29"
"29","350","1","WCF8203WK","器具用フルカラー3Pモダンプレート","84.00","","1","","","","0.0100","2017-11-13 09:58:29","2017-11-13 09:58:29"
"31","352","1","WN1001","埋込コンセント","145.00","0.6000","2","","","","0.0100","2017-11-13 14:54:04","2017-11-13 14:54:04"
"32","352","1","WCN3702","フルカラー組合わせ用取付枠２コ用","65.00","0.6000","1","","","","0.0100","2017-11-13 14:54:04","2017-11-13 14:54:04"
"33","352","1","WCF8202WK","フルカラー２Ｐモダンプレート","100.00","0.6000","1","","","","0.0100","2017-11-13 14:54:04","2017-11-13 14:54:04"
